供应商名称,商品名称,生产厂家,销售价,有效期,规格,销量
帝豪旗舰店,南阳新生 东盛 双黄连口服液,南阳市新生制药有限公司,9.71,2021-01-31,10ml*10支,6574
帝豪旗舰店,世福素 头孢克肟颗粒,广州白云山医药集团股份有限公司白云山制药总厂,17.50,2020-12-31,50mg*8袋,93779
帝豪旗舰店,四川迪康 牙痛药水,成都迪康药业股份有限公司,5.50,2020-11-04,5ml,28407
帝豪旗舰店,迪巧 维D钙咀嚼片,安士制药(中山)有限公司,51.00,2021-06-13,750mg(相当于钙300mg)*60片,17294
帝豪旗舰店,山东罗欣 盐酸头孢他美酯分散片,山东罗欣药业集团股份有限公司,16.29,2020-09-25,0.25g*8s,576
帝豪旗舰店,天津亚宝 玉川 叶酸片,天津飞鹰玉川药业有限公司,3.80,2021-10-31,0.4mg*31片,15858
帝豪旗舰店,新乡华青 盐酸金霉素眼膏,新乡华青药业有限公司,4.12,2020-10-31,2g(0.5%),99757
帝豪旗舰店,诺金 湿毒清片,广州诺金制药有限公司,9.00,2021-02-28,0.5g*30片,7461
帝豪旗舰店,太极 急支糖浆,太极集团重庆涪陵制药厂有限公司,13.50,2021-06-30,100ml,2567
帝豪旗舰店,以岭 连花清瘟胶囊,石家庄以岭药业股份有限公司,11.80,2021-06-30,0.35g*24粒,7581
帝豪旗舰店,金达克宁 酮康唑乳膏,西安杨森制药有限公司,20.90,2021-05-31,15g,0
帝豪旗舰店,白云山 蛇胆陈皮散,广州白云山奇星药业有限公司,1.87,2021-07-31,0.6g,18983
帝豪旗舰店,速宁达 珊瑚癣净,贵州金桥药业有限公司,18.70,2020-05-31,250ml,7805
帝豪旗舰店,国药川抗 硝呋太尔制霉素阴道软胶囊,国药集团川抗制药有限公司,18.50,2020-12-10,500mg*6S*1板,0
帝豪旗舰店,珍棒 阿莫西林胶囊,山东鲁抗医药股份有限公司,2.00,2021-10-31,0.25g*20粒,67218
帝豪旗舰店,药信 蒲地蓝消炎片,安徽济人药业有限公司,4.60,2020-10-31,48片,23728
帝豪旗舰店,德众 腰肾膏,国药集团德众(佛山)药业有限公司,18.37,2020-05-15,7cm*10cm*9贴,1483
帝豪旗舰店,云南白药膏,云南白药集团无锡药业有限公司,23.01,2021-10-31,6.5cm*10cm*5贴(打孔透气型),39371
帝豪旗舰店,艾纳香 咽立爽口含滴丸,贵州黄果树立爽药业有限公司,15.12,2020-11-30,0.025g*50丸,10741
帝豪旗舰店,罗浮山 咳特灵胶囊,广东罗浮山国药股份有限公司,4.20,2021-04-30,30粒,42136
帝豪旗舰店,凯莱克林 盐酸克林霉素棕榈酸酯分散片,广州一品红制药有限公司,16.80,2021-02-28,75mg*8片,7988
帝豪旗舰店,施慧达 苯磺酸左旋氨氯地平片,施慧达药业集团(吉林)有限公司,30.80,2021-12-31,2.5mg*14片,23907
